[23, 17, 23, 5, 5, 23]
[16, 28, 11, 22, 17, 23]
[10, 11, 11, 4, 11, 10]
[23, 2, 10, 23, 17, 10]
[35, 17, 35, 35, 23, 17]
[11, 11, 3, 5, 10, 10]
[13, 17, 13, 17, 17, 15]
[23, 29, 23, 29, 35, 29]
[23, 15, 17, 3, 4, 23]
[11, 5, 11, 11, 5, 5]
[17, 10, 8, 8, 29, 14]
[17, 5, 11, 23, 17, 29]
[35, 21, 29, 23, 28, 29]
[28, 16, 25, 33, 27, 26]
[35, 34, 33, 32, 23, 34]
[17, 11, 8, 8, 11, 10]
[35, 28, 34, 23, 28, 29]
[28, 21, 35, 27, 29, 27]
[34, 20, 20, 34, 19, 22]
[5, 11, 11, 4, 11, 11]
[35, 33, 17, 33, 17, 28]
[4, 5, 2, 3, 0, 3]
[26, 35, 20, 26, 35, 27]
[20, 17, 9, 17, 9, 20]
[23, 4, 11, 4, 4, 5]
